City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Port Moresby,PG,76.95,heavy intensity rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
8,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
10,Moron,AR,85.95,clear sky,-34.6534,-58.6198,Hotel Morón
18,Pemba,MZ,76.14,overcast clouds,-12.974,40.5178,Guesthouse Samotina
23,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
30,Butaritari,KI,81.75,light rain,3.0707,172.7902,Isles Sunset Lodge
34,Atuona,PF,77.23,light rain,-9.8,-139.0333,Villa Enata
35,Kapaa,US,77.32,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Arraial Do Cabo,BR,84.16,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
43,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
44,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
53,Puerto Ayora,EC,80.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
54,Muli,MV,81.9,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
56,Vaini,TO,81.34,light rain,-21.2,-175.2,Keleti Beach Resort
60,Caravelas,BR,84.25,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
63,Kanniyakumari,IN,78.71,scattered clouds,8.0833,77.5667,Sparsa
67,Vao,NC,78.28,light rain,-22.6667,167.4833,Hotel Kou-Bugny
71,Guaymas,MX,78.75,clear sky,27.9333,-110.9,Hotel Armida
74,Poum,NC,80.89,scattered clouds,-20.2333,164.0167,Gîte kajeon
75,Fort Wellington,GY,80.35,broken clouds,6.4,-57.6,TE'AMO Entertainment Park
76,Isangel,VU,77.11,moderate rain,-19.55,169.2667,Tanna Lodge
87,Batemans Bay,AU,75.2,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
88,Rikitea,PF,77.32,overcast clouds,-23.1203,-134.9692,People ThankYou
