City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,2.88,93,100,21.41,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,55.51,44,75,19.57,broken clouds
2,Pag,HR,44.445,15.0575,45.18,66,30,9.42,scattered clouds
3,Ribeira Grande,PT,38.5167,-28.7,61.2,63,20,6.91,few clouds
4,Mataura,NZ,-46.1927,168.8643,61.48,96,100,1.88,overcast clouds
5,Busselton,AU,-33.65,115.3333,65.08,89,0,15.55,clear sky
6,Port Moresby,PG,-9.4431,147.1797,76.95,82,100,5.59,heavy intensity rain
7,Talnakh,RU,69.4865,88.3972,-0.45,97,100,10.04,overcast clouds
8,Avarua,CK,-21.2078,-159.775,80.65,83,40,10.36,scattered clouds
9,Vardo,NO,70.3705,31.1107,21.65,76,100,3.09,overcast clouds
10,Moron,AR,-34.6534,-58.6198,85.95,48,9,7.49,clear sky
11,Shimminato,JP,36.7833,137.0667,36.3,91,100,6.44,light snow
12,Jamestown,US,42.097,-79.2353,18.52,48,20,5.01,few clouds
13,Chokurdakh,RU,70.6333,147.9167,-13.4,87,100,1.05,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,49.66,87,100,20.71,light rain
15,Comodoro Rivadavia,AR,-45.8667,-67.5,91.26,7,0,20.71,clear sky
16,Wanganui,NZ,-39.9333,175.05,64.6,73,0,3.0,clear sky
17,Portoferraio,IT,42.8115,10.3146,55.58,76,0,2.3,clear sky
18,Pemba,MZ,-12.974,40.5178,76.14,88,100,7.7,overcast clouds
19,Zeya,RU,53.75,127.2667,-2.54,86,100,4.38,overcast clouds
20,Hobart,AU,-42.8794,147.3294,58.86,72,100,9.22,overcast clouds
21,Springdale,US,36.1867,-94.1288,54.32,34,0,15.01,clear sky
22,Castro,BR,-24.7911,-50.0119,60.8,98,100,5.32,overcast clouds
23,Bambous Virieux,MU,-20.3428,57.7575,80.85,78,40,8.05,scattered clouds
24,Port Lincoln,AU,-34.7333,135.8667,64.26,88,32,14.38,scattered clouds
25,Hermanus,ZA,-34.4187,19.2345,74.89,71,1,15.86,clear sky
26,Suntar,RU,62.1444,117.6319,-17.91,97,19,4.99,few clouds
27,Arman,RU,59.7,150.1667,7.48,81,100,14.85,overcast clouds
28,Nikolskoye,RU,59.7035,30.7861,26.71,87,100,13.29,light snow
29,Saldanha,ZA,-33.0117,17.9442,69.85,83,0,20.65,clear sky
30,Butaritari,KI,3.0707,172.7902,81.75,77,12,19.33,light rain
31,Hilo,US,19.7297,-155.09,74.8,67,20,6.91,few clouds
32,Beatrice,US,40.2681,-96.747,57.74,24,0,10.36,clear sky
33,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,75,16.11,light snow
34,Atuona,PF,-9.8,-139.0333,77.23,80,29,14.54,light rain
35,Kapaa,US,22.0752,-159.319,77.32,79,100,1.01,overcast clouds
